NO,NO KEC,KECAMATAN,JUMLAH SMP NEGERI,JUMLAH GURU SMP NEGERI KUALIFIKASI D3/D4,JUMLAH GURU SMP NEGERI KUALIFIKASI S1,JUMLAH GURU SMP NEGERI KUALIFIKASI S2
1,32.75.01,Bekasi Timur,7,24,259,40
2,32.75.02,Bekasi Barat,5,3,122,38
3,32.75.03,Bekasi Utara,7,14,266,25
4,32.75.04,Bekasi Selatan,6,7,187,30
5,32.75.05,Rawalumbu,5,6,139,25
6,32.75.06,Medansatria,3,6,98,13
7,32.75.07,Bantargebang,3,3,90,14
8,32.75.08,Pondokgede,4,3,128,11
9,32.75.09,Jatiasih,7,7,246,44
10,32.75.10,Jatisampurna,3,4,91,12
11,32.75.11,Mustikajaya,5,8,172,14
12,32.75.12,Pondokmelati,1,2,40,7
