NO,NO KEC,KECAMATAN,JUMLAH SMP NEGERI,JUMLAH SISWA SMP NEGERI (LAKI-LAKI),JUMLAH SISWA SMP NEGERI (PEREMPUAN),JUMLAH GURU SMP NEGERI YANG SUDAH SERTIFIKASI,JUMLAH GURU SMP NEGERI YANG BELUM SERTIFIKASI,RASIO
1,32.75.01,Bekasi Timur,7,3702,3780,194,217,"18,2"
2,32.75.02,Bekasi Barat,5,2229,2201,89,122,21
3,32.75.03,Bekasi Utara,7,3461,3354,131,247,"18,03"
4,32.75.04,Bekasi Selatan,6,2658,2731,126,158,"18,98"
5,32.75.05,Rawalumbu,5,2275,2340,117,116,"19,81"
6,32.75.06,Medansatria,3,1145,1146,55,80,"16,97"
7,32.75.07,Bantargebang,3,1263,1153,48,87,"17,9"
8,32.75.08,Pondokgede,4,1999,2108,91,85,"23,34"
9,32.75.09,Jatiasih,7,3380,3349,135,229,"18,49"
10,32.75.10,Jatisampurna,3,1285,1245,48,104,"16,64"
11,32.75.11,Mustikajaya,5,2138,2222,117,123,"18,17"
12,32.75.12,Pondokmelati,1,672,585,25,31,"22,45"
