NO,NO KEC,KECAMATAN,JUMLAH SISWA SMP NEGERI (LAKI-LAKI),JUMLAH SISWA SMP NEGERI (PEREMPUAN),JUMLAH TOTAL SISWA
1,32.75.01,Bekasi Timur,3702,3780,7.482
2,32.75.02,Bekasi Barat,2229,2201,4.430
3,32.75.03,Bekasi Utara,3461,3354,6.815
4,32.75.04,Bekasi Selatan,2658,2731,5.389
5,32.75.05,Rawalumbu,2275,2340,4.615
6,32.75.06,Medansatria,1145,1146,2.291
7,32.75.07,Bantargebang,1263,1153,2.416
8,32.75.08,Pondokgede,1999,2108,4.107
9,32.75.09,Jatiasih,3380,3349,6.729
10,32.75.10,Jatisampurna,1285,1245,2.530
11,32.75.11,Mustikajaya,2138,2222,4.360
12,32.75.12,Pondokmelati,672,585,1.257
