NO,NO KEC,KECAMATAN,TERAKREDITASI (A),TERAKREDITASI (B),TERAKREDITASI (C),SEKOLAH MENENGAH PERTAMA (SMP) SWASTA BELUM TERAKREDITASI,JUMLAH TOTAL SEKOLAH MENENGAH PERTAMA (SMP),NO,NO KEC,KECAMATAN,JUMLAH SMP SWASTA,JUMLAH RUANG KELAS SMP SWASTA,NO,NO KEC,KECAMATAN,JUMLAH SMP SWASTA,JUMLAH LABORATORIUM IPA,JUMLAH LABORATORIUM BAHASA,JUMLAH LABORATORIUM KOMPUTER,NO,NO KEC,KECAMATAN,JUMLAH SISWA SMP SWASTA (LAKI-LAKI),JUMLAH SISWA SMP SWASTA (PEREMPUAN),JUMLAH TOTAL SISWA,NO,NO KEC,KECAMATAN,JUMLAH GURU SMP SWASTA YANG SUDAH SERTIFIKASI,JUMLAH GURU SMP SWASTA YANG BELUM SERTIFIKASI,JUMLAH TOTAL GURU SMP SWASTA,NO,NO KEC,KECAMATAN,JUMLAH SMP SWASTA,JUMLAH GURU SMP SWASTA KUALIFIKASI D3/D4,JUMLAH GURU SMP SWASTA KUALIFIKASI S1,JUMLAH GURU SMP SWASTA KUALIFIKASI S2,NO,NO KEC,KECAMATAN,JUMLAH SMP SWASTA,JUMLAH SISWA SMP SWASTA (LAKI-LAKI),JUMLAH SISWA SMP SWASTA (PEREMPUAN),JUMLAH GURU SMP SWASTA YANG SUDAH SERTIFIKASI,JUMLAH GURU SMP SWASTA YANG BELUM SERTIFIKASI,RASIO
1,32.75.01,Bekasi Timur,15,4,0,6,25,1,32.75.01,Bekasi Timur,25,222,1,32.75.01,Bekasi Timur,25,24,10,25,1,32.75.01,Bekasi Timur,1934,1855,3.789,1,32.75.01,Bekasi Timur,140,257,397,1,32.75.01,Bekasi Timur,25,17,290,17,1,32.75.01,Bekasi Timur,25,1934,1855,140,257,"9,54"
2,32.75.02,Bekasi Barat,9,2,0,5,16,2,32.75.02,Bekasi Barat,16,133,2,32.75.02,Bekasi Barat,16,8,3,17,2,32.75.02,Bekasi Barat,1431,1197,2.628,2,32.75.02,Bekasi Barat,62,165,227,2,32.75.02,Bekasi Barat,16,12,169,8,2,32.75.02,Bekasi Barat,16,1431,1197,62,165,"11,58"
3,32.75.03,Bekasi Utara,25,6,0,2,33,3,32.75.03,Bekasi Utara,33,299,3,32.75.03,Bekasi Utara,33,26,9,29,3,32.75.03,Bekasi Utara,3472,2971,6.443,3,32.75.03,Bekasi Utara,157,391,548,3,32.75.03,Bekasi Utara,33,20,442,27,3,32.75.03,Bekasi Utara,33,3472,2971,157,391,"11,76"
4,32.75.04,Bekasi Selatan,9,4,1,1,15,4,32.75.04,Bekasi Selatan,15,141,4,32.75.04,Bekasi Selatan,15,15,4,13,4,32.75.04,Bekasi Selatan,1073,977,2.05,4,32.75.04,Bekasi Selatan,93,132,225,4,32.75.04,Bekasi Selatan,15,10,170,11,4,32.75.04,Bekasi Selatan,15,1073,977,93,132,"9,11"
5,32.75.05,Rawalumbu,20,2,0,1,23,5,32.75.05,Rawalumbu,23,243,5,32.75.05,Rawalumbu,23,17,6,19,5,32.75.05,Rawalumbu,2556,2441,4.997,5,32.75.05,Rawalumbu,126,315,441,5,32.75.05,Rawalumbu,23,28,342,29,5,32.75.05,Rawalumbu,23,2556,2441,126,315,"11,33"
6,32.75.06,Medansatria,18,5,2,1,26,6,32.75.06,Medansatria,26,219,6,32.75.06,Medansatria,26,22,7,21,6,32.75.06,Medansatria,1870,1619,3.489,6,32.75.06,Medansatria,123,268,391,6,32.75.06,Medansatria,26,15,299,13,6,32.75.06,Medansatria,26,1870,1619,123,268,"8,92"
7,32.75.07,Bantargebang,6,1,0,0,7,7,32.75.07,Bantargebang,7,70,7,32.75.07,Bantargebang,7,5,1,7,7,32.75.07,Bantargebang,752,647,1.399,7,32.75.07,Bantargebang,13,119,132,7,32.75.07,Bantargebang,7,2,100,6,7,32.75.07,Bantargebang,7,752,647,13,119,"10,6"
8,32.75.08,Pondokgede,10,2,1,6,19,8,32.75.08,Pondokgede,19,147,8,32.75.08,Pondokgede,19,12,4,17,8,32.75.08,Pondokgede,1466,1195,2.661,8,32.75.08,Pondokgede,69,196,265,8,32.75.08,Pondokgede,19,11,212,14,8,32.75.08,Pondokgede,19,1466,1195,69,196,"10,04"
9,32.75.09,Jatiasih,14,9,1,6,30,9,32.75.09,Jatiasih,30,203,9,32.75.09,Jatiasih,30,19,2,26,9,32.75.09,Jatiasih,1880,1811,3.691,9,32.75.09,Jatiasih,74,328,402,9,32.75.09,Jatiasih,30,11,317,16,9,32.75.09,Jatiasih,30,1880,1811,74,328,"9,18"
10,32.75.10,Jatisampurna,10,1,0,3,14,10,32.75.10,Jatisampurna,14,104,10,32.75.10,Jatisampurna,14,11,6,11,10,32.75.10,Jatisampurna,1397,1193,2.59,10,32.75.10,Jatisampurna,69,166,235,10,32.75.10,Jatisampurna,14,11,159,10,10,32.75.10,Jatisampurna,14,1397,1193,69,166,"11,02"
11,32.75.11,Mustikajaya,14,4,0,3,21,11,32.75.11,Mustikajaya,21,180,11,32.75.11,Mustikajaya,21,16,4,20,11,32.75.11,Mustikajaya,1572,1340,2.912,11,32.75.11,Mustikajaya,35,234,269,11,32.75.11,Mustikajaya,21,18,197,9,11,32.75.11,Mustikajaya,21,1572,1340,35,234,"10,83"
12,32.75.12,Pondokmelati,9,5,0,0,14,12,32.75.12,Pondokmelati,14,115,12,32.75.12,Pondokmelati,14,10,3,12,12,32.75.12,Pondokmelati,983,959,1.942,12,32.75.12,Pondokmelati,44,162,206,12,32.75.12,Pondokmelati,14,6,161,5,12,32.75.12,Pondokmelati,14,983,959,44,162,"9,43"
