NO,NO KEC,KECAMATAN,TERAKREDITASI (A),TERAKREDITASI (B),TERAKREDITASI (C),SEKOLAH MENENGAH PERTAMA (SMP) SWASTA BELUM TERAKREDITASI,JUMLAH TOTAL SEKOLAH MENENGAH PERTAMA (SMP),JUMLAH SMP SWASTA,JUMLAH RUANG KELAS SMP SWASTA,JUMLAH LABORATORIUM IPA,JUMLAH LABORATORIUM BAHASA,JUMLAH LABORATORIUM KOMPUTER,JUMLAH SISWA SMP SWASTA (LAKI-LAKI),JUMLAH SISWA SMP SWASTA (PEREMPUAN),JUMLAH TOTAL SISWA,JUMLAH GURU SMP SWASTA YANG SUDAH SERTIFIKASI,JUMLAH GURU SMP SWASTA YANG BELUM SERTIFIKASI,JUMLAH TOTAL GURU SMP SWASTA,JUMLAH GURU SMP SWASTA KUALIFIKASI D3/D4,JUMLAH GURU SMP SWASTA KUALIFIKASI S1,JUMLAH GURU SMP SWASTA KUALIFIKASI S2,RASIO
1,32.75.01,Bekasi Timur,15,4,0,6,25,25,222,24,10,25,1934,1855,3.789,140,257,397,17,290,17,"9,54"
2,32.75.02,Bekasi Barat,9,2,0,5,16,16,133,8,3,17,1431,1197,2.628,62,165,227,12,169,8,"11,58"
3,32.75.03,Bekasi Utara,25,6,0,2,33,33,299,26,9,29,3472,2971,6.443,157,391,548,20,442,27,"11,76"
4,32.75.04,Bekasi Selatan,9,4,1,1,15,15,141,15,4,13,1073,977,2.05,93,132,225,10,170,11,"9,11"
5,32.75.05,Rawalumbu,20,2,0,1,23,23,243,17,6,19,2556,2441,4.997,126,315,441,28,342,29,"11,33"
6,32.75.06,Medansatria,18,5,2,1,26,26,219,22,7,21,1870,1619,3.489,123,268,391,15,299,13,"8,92"
7,32.75.07,Bantargebang,6,1,0,0,7,7,70,5,1,7,752,647,1.399,13,119,132,2,100,6,"10,6"
8,32.75.08,Pondokgede,10,2,1,6,19,19,147,12,4,17,1466,1195,2.661,69,196,265,11,212,14,"10,04"
9,32.75.09,Jatiasih,14,9,1,6,30,30,203,19,2,26,1880,1811,3.691,74,328,402,11,317,16,"9,18"
10,32.75.10,Jatisampurna,10,1,0,3,14,14,104,11,6,11,1397,1193,2.59,69,166,235,11,159,10,"11,02"
11,32.75.11,Mustikajaya,14,4,0,3,21,21,180,16,4,20,1572,1340,2.912,35,234,269,18,197,9,"10,83"
12,32.75.12,Pondokmelati,9,5,0,0,14,14,115,10,3,12,983,959,1.942,44,162,206,6,161,5,"9,43"
