NO,NO KEC,KECAMATAN,JUMLAH SISWA SMP SWASTA (LAKI-LAKI),JUMLAH SISWA SMP SWASTA (PEREMPUAN),JUMLAH TOTAL SISWA
1,32.75.01,Bekasi Timur,1934,1855,3.789
2,32.75.02,Bekasi Barat,1431,1197,2.628
3,32.75.03,Bekasi Utara,3472,2971,6.443
4,32.75.04,Bekasi Selatan,1073,977,2.050
5,32.75.05,Rawalumbu,2556,2441,4.997
6,32.75.06,Medansatria,1870,1619,3.489
7,32.75.07,Bantargebang,752,647,1.399
8,32.75.08,Pondokgede,1466,1195,2.661
9,32.75.09,Jatiasih,1880,1811,3.691
10,32.75.10,Jatisampurna,1397,1193,2.590
11,32.75.11,Mustikajaya,1572,1340,2.912
12,32.75.12,Pondokmelati,983,959,1.942
